SrcIP,SrcPort,DstIP,DstPort,Proto,CurrentLength,TotalPkts,MinLen,MaxLen,SumLen,MeanLen,Label
157.55.130.169,40004,10.8.0.6,40273,17,0,1,487,487,487,31916032,-1
10.8.8.138,60570,204.236.238.164,1955,6,3932160,262,60,1374,342834,85755606,0
157.55.130.169,40027,10.8.0.6,40273,17,0,1,62,62,62,4063232,-1
173.194.113.48,443,10.8.8.130,51012,6,7077888,8,66,1374,4382,35897344,0
131.253.61.84,443,10.8.8.130,42935,6,3932160,14,60,590,6370,29818880,2
10.8.8.246,50793,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
216.58.219.227,443,10.8.0.14,46428,6,4325376,673,66,1404,930825,90642715,0
173.252.79.90,443,10.8.0.10,41626,6,4325376,4,66,142,348,5701632,4
10.8.8.138,59312,216.58.221.142,443,17,5177344,2,79,1392,1471,48201728,5
74.125.226.59,80,10.8.8.138,54815,6,3932160,3,60,66,192,4194304,5
10.8.0.6,40273,157.55.130.174,40016,17,0,1,79,79,79,5177344,-1
157.56.52.18,40006,10.8.0.6,40273,17,0,1,62,62,62,4063232,-1
10.8.8.134,43216,70.20.28.143,4395,6,4325376,126,66,593,27457,14281126,6
70.162.82.238,3792,10.8.8.134,15685,17,4128768,4,63,63,252,4128768,2
10.8.8.178,15685,111.221.74.14,40029,17,0,1,83,83,83,5439488,-1
111.221.77.158,40002,10.8.0.6,40273,17,0,1,62,62,62,4063232,-1
10.8.8.138,45798,204.236.238.164,1587,6,4325376,146,66,173,10002,4489664,2
204.236.238.164,1639,10.8.8.138,41005,6,3932160,1899,60,1374,2598604,89679890,5
10.8.8.246,63805,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.0.6,52785,173.194.123.127,443,6,4325376,19,66,583,2504,8636954,0
10.8.0.10,42610,173.194.123.70,80,6,4325376,26,66,503,4346,10954594,5
213.199.179.176,40018,10.8.0.6,40273,17,4128768,11,63,63,693,4128768,6
10.8.8.134,15685,172.248.47.90,55370,17,0,1,60,60,60,3932160,-1
216.58.221.142,443,10.8.8.138,55602,17,25034752,6,74,1392,4711,51456682,5
10.8.8.246,32823,77.72.169.160,6901,17,0,1,72,72,72,4718592,-1
10.8.0.6,40273,111.221.77.165,40022,17,0,1,77,77,77,5046272,-1
173.194.123.24,443,10.8.0.10,57123,6,4325376,9,66,1404,4865,35425848,0
173.194.67.16,465,10.8.8.234,37875,6,3932160,19,60,302,2125,7329684,0
199.233.217.27,123,10.8.8.110,32885,17,0,1,90,90,90,5898240,-1
10.8.8.130,43475,207.241.236.176,80,6,4325376,7,66,295,699,6544237,0
10.8.8.138,58925,69.25.24.24,443,6,3932160,7,60,60,420,3932160,5
10.8.8.130,52141,64.4.23.162,40019,6,4325376,46,66,481,4141,5899664,6
24.36.174.173,47044,10.8.8.134,15685,17,4128768,9,63,63,567,4128768,6
64.233.178.94,80,10.8.0.6,55199,6,4325376,7,66,66,462,4325376,5
184.166.38.160,11767,10.8.8.134,15685,17,4194304,4,64,64,256,4194304,2
74.125.226.57,443,10.8.8.138,46417,6,4325376,5,66,129,393,5151129,5
74.125.226.33,443,10.8.8.138,48158,17,10485760,8,159,1392,2736,22413312,5
10.8.8.138,41535,74.125.226.38,443,6,4325376,4,66,74,272,4456448,5
82.212.136.20,52154,10.8.8.130,51413,17,0,1,387,387,387,25362432,-1
10.8.8.130,51413,95.211.210.136,6881,17,0,1,139,139,139,9109504,-1
10.8.8.178,36048,72.67.86.10,15827,6,4325376,13,66,122,1025,5167261,6
10.8.8.130,56528,239.255.255.250,1900,17,11403264,2,174,175,349,11436032,2
111.221.74.28,40028,10.8.0.6,40273,17,0,1,548,548,548,35913728,-1
111.221.77.154,40007,10.8.8.134,15685,17,9175040,120,140,140,16800,9175040,6
173.252.79.90,50015,10.8.0.10,59600,17,7733248,2,118,146,264,8650752,6
64.233.184.16,465,10.8.8.110,37433,6,3932160,20,60,304,2193,7186022,0
10.8.8.246,59493,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.8.138,47400,23.235.40.246,80,6,4325376,84,66,284,5770,4501699,0
212.161.8.36,13392,10.8.8.130,49539,17,3932160,4,60,60,240,3932160,2
157.55.130.173,40001,10.8.0.6,40273,17,5111808,7,77,78,544,5093083,6
111.221.77.174,40017,10.8.0.6,40273,17,0,1,62,62,62,4063232,-1
111.240.65.105,33037,10.8.8.134,15685,17,0,1,68,68,68,4456448,-1
10.8.8.138,50697,172.230.99.79,443,6,3932160,4,60,66,246,4030464,0
10.8.8.134,15685,157.55.235.155,40034,17,5046272,3,77,77,231,5046272,2
137.116.224.167,443,10.8.0.6,40440,6,4325376,8,66,1404,4092,33521664,0
10.8.8.130,55916,207.241.224.2,80,6,4325376,6,66,262,600,6553600,0
114.165.172.93,42129,10.8.8.134,15685,17,0,1,68,68,68,4456448,-1
173.252.79.94,443,10.8.0.10,53693,6,4325376,8,66,170,872,7143424,6
213.199.179.143,33033,10.8.0.6,40273,17,4128768,9,63,63,567,4128768,6
208.117.251.116,443,10.8.8.138,56586,6,4325376,5,66,203,475,6225920,5
10.8.8.138,56567,208.117.251.116,443,6,4325376,7,66,583,1038,9718052,5
208.117.251.116,443,10.8.8.138,56549,6,4325376,2,66,66,132,4325376,5
216.58.219.205,443,10.8.8.138,42833,17,4849664,6,71,1392,2203,24062634,5
157.55.130.172,40027,10.8.0.10,18420,17,4128768,5,63,63,315,4128768,1
81.184.232.115,26411,10.8.8.130,49539,17,0,1,68,68,68,4456448,-1
10.8.8.222,53494,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.8.130,49539,157.55.130.168,40019,17,30343168,12,75,463,2493,13615104,1
209.148.205.35,443,10.8.8.138,42191,6,4325376,2,66,74,140,4587520,5
10.8.0.14,46961,74.125.226.2,443,6,4325376,29,66,1404,6605,14926388,0
10.8.8.138,59322,74.125.226.38,443,17,5177344,16,79,581,5116,20955136,5
204.236.238.164,1481,10.8.8.138,34545,6,4325376,146,66,1374,13870,6225920,5
173.252.79.90,3478,10.8.0.10,53280,6,4325376,5,66,170,518,6789529,0
108.40.10.184,53583,10.8.8.134,45067,6,4325376,67,66,124,4604,4503399,6
173.194.204.188,5228,10.8.8.138,55375,6,32047104,256,66,491,25531,6535936,2
10.8.8.246,53588,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
207.241.237.128,80,10.8.8.130,47685,6,4325376,567,66,1374,765881,88523416,5
10.8.8.138,53065,204.236.238.164,1756,6,4325376,135,66,327,9580,4650628,0
173.194.123.15,443,10.8.0.10,35320,6,4325376,9,66,1404,4865,35425848,0
10.8.0.6,40273,157.55.130.176,40017,17,4980736,2,76,76,152,4980736,6
10.8.0.14,53765,216.58.219.229,443,6,4325376,19,66,1404,4242,14631774,0
45.48.229.255,19290,10.8.8.134,32875,6,4325376,93,66,136,6341,4468427,6
10.8.0.14,60188,74.125.226.0,80,6,4325376,17,66,503,1567,6040877,0
216.58.210.33,443,10.8.8.178,52390,6,4325376,13,66,1374,4920,24802855,5
23.67.255.209,443,10.8.8.178,39269,6,7798784,13,66,119,964,4859746,0
10.8.8.130,52161,64.4.23.162,40019,6,4456448,111,66,482,14084,8315396,2
10.8.0.6,52952,74.125.226.160,443,6,4325376,22,66,945,3919,11674344,0
213.199.179.148,443,10.8.8.130,49539,17,0,1,68,68,68,4456448,-1
74.125.226.37,443,10.8.8.138,54222,6,4325376,10,66,216,954,6252134,5
74.125.224.143,443,10.8.0.10,45951,6,4325376,85,60,1404,12253,9447207,6
207.241.237.128,80,10.8.8.130,47733,6,4325376,2014,66,1374,2756346,89692101,5
10.8.8.138,36089,74.125.226.36,443,17,5242880,29,80,184,2506,5663214,6
209.148.205.16,80,10.8.8.138,58783,6,4325376,7,66,66,462,4325376,5
23.235.44.143,443,10.8.8.138,49853,6,4325376,4,66,97,295,4833280,5
10.8.0.10,44806,74.125.226.70,443,6,4325376,30,66,701,4598,10044484,0
10.8.8.138,41273,209.148.205.32,80,6,4325376,7,66,66,462,4325376,5
10.8.0.10,42526,173.194.123.6,443,6,4325376,52,66,1404,57505,72473993,0
64.233.184.16,465,10.8.8.110,37446,6,3932160,19,60,304,2133,7357278,0
10.8.0.14,44093,74.125.226.21,443,6,4325376,19,66,1404,4237,14614528,0
138.94.29.137,25777,10.8.8.134,15685,17,0,1,68,68,68,4456448,-1
207.241.227.188,80,10.8.8.130,59097,6,3932160,2015,60,1374,2755092,89606803,5
10.8.8.134,56277,128.78.14.125,26965,6,4325376,167,66,1215,65566,25730139,6
207.241.226.111,6969,10.8.8.130,49154,6,4325376,5,66,207,479,6278348,4
198.41.30.199,80,10.8.8.138,57111,6,4325376,5,66,687,1343,17602969,5
73.45.157.98,36950,10.8.8.134,15685,17,4128768,4,63,63,252,4128768,2
10.8.8.130,47195,137.116.224.167,443,6,4325376,15,66,333,1620,7077888,2
213.199.179.157,40023,10.8.0.6,40273,17,4128768,8,63,63,504,4128768,2
216.58.208.37,443,10.8.8.178,51900,6,4325376,15,66,1216,2812,12285815,0
10.8.8.246,63306,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
111.221.77.171,40003,10.8.0.6,40273,17,4063232,2,62,62,124,4063232,6
74.125.226.37,443,10.8.8.138,46612,17,10420224,9,74,1392,2793,20338005,5
10.8.0.6,0,10.8.0.10,0,1,6422528,2,98,98,196,6422528,1
10.8.8.138,39902,23.235.40.143,443,6,4325376,3,66,74,206,4500138,5
10.8.8.138,58760,209.148.205.16,80,6,4325376,6,66,66,396,4325376,5
173.194.123.26,80,10.8.0.10,47933,6,4325376,18,66,1404,5754,20949674,0
10.8.8.130,49539,111.221.77.173,40006,17,0,1,60,60,60,3932160,-1
10.8.8.178,39276,23.67.255.209,443,6,3932160,7,60,119,491,4596882,0
173.194.123.5,443,10.8.0.10,33827,6,4325376,30,60,1404,10174,22225442,0
10.8.8.130,49539,86.193.232.51,40406,17,4194304,4,64,64,256,4194304,2
173.254.221.69,123,10.8.8.130,35397,17,0,1,90,90,90,5898240,-1
157.55.235.166,40030,10.8.0.6,40273,17,0,1,62,62,62,4063232,-1
10.8.8.246,50873,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
74.125.226.10,443,10.8.0.10,43513,6,4325376,28,60,1404,6566,15368192,0
10.8.0.10,18420,157.55.56.169,40008,17,5570560,2,76,85,161,5275648,6
10.8.0.14,39985,216.58.219.238,443,6,4325376,16,66,1404,4084,16728064,0
213.199.179.147,40003,10.8.0.6,40273,17,4128768,7,63,63,441,4128768,6
23.63.99.218,443,10.8.8.178,37109,6,3932160,5,60,135,440,5767168,0
10.8.8.138,54373,74.125.226.35,443,17,5373952,4,82,1392,3271,53592064,0
78.207.139.99,26936,10.8.8.130,49539,17,0,1,68,68,68,4456448,-1
10.8.8.130,49539,41.242.35.131,26510,17,0,1,60,60,60,3932160,-1
10.8.8.138,50093,74.125.226.35,443,17,5177344,2,79,1392,1471,48201728,5
74.125.226.56,443,10.8.8.138,38001,6,4325376,18,66,1374,5585,20334364,5
207.241.237.128,80,10.8.8.130,47735,6,4325376,2180,66,1374,2982742,89668339,5
111.221.74.41,40029,10.8.8.134,15685,17,0,1,62,62,62,4063232,-1
64.4.23.151,40023,10.8.0.6,40273,17,4128768,8,63,530,1115,9134080,6
10.8.8.138,58757,209.148.205.16,80,6,4325376,8,66,66,528,4325376,5
10.8.8.134,15685,71.179.224.152,47644,17,4128768,4,63,63,252,4128768,2
10.8.8.130,33847,207.241.227.212,80,6,4325376,1363,66,255,95771,4604877,0
10.8.8.246,51537,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.8.138,44443,74.125.226.55,443,6,4325376,16,66,583,1951,7991296,0
10.8.8.130,49539,62.198.78.46,7947,17,0,1,60,60,60,3932160,-1
111.221.77.171,40004,10.8.0.6,40273,17,6553600,9,60,100,860,6262328,6
10.8.8.130,51413,77.91.68.196,32482,17,0,1,139,139,139,9109504,-1
10.8.0.10,18420,64.4.23.169,40008,17,0,1,76,76,76,4980736,-1
10.8.8.134,15685,105.158.212.192,50988,17,0,1,60,60,60,3932160,-1
10.8.0.6,40273,64.4.23.151,40023,17,12386304,8,83,245,1455,11919360,6
10.8.8.130,51413,24.224.192.73,53533,17,0,1,139,139,139,9109504,-1
10.8.8.222,60732,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
173.194.123.3,443,10.8.0.14,42741,6,34340864,8313,66,1404,1778025,14017159,5
65.92.163.247,59590,10.8.8.130,51413,17,0,1,361,361,361,23658496,-1
10.8.8.110,37423,64.233.184.16,465,6,4325376,15,66,583,2367,10341580,0
173.252.79.90,443,10.8.0.10,52712,6,4325376,5,66,170,518,6789529,0
10.8.8.130,49539,157.56.52.33,443,17,0,1,60,60,60,3932160,-1
216.58.219.237,443,10.8.0.14,33015,6,4325376,8,66,129,591,4841472,0
10.8.8.138,54977,74.125.226.35,443,6,4325376,20,66,328,1974,6468403,2
173.194.123.4,443,10.8.0.10,33691,6,3932160,22,60,1404,6314,18808832,0
10.8.0.10,34034,209.148.205.26,443,6,3932160,11,60,583,1451,8644794,0
157.56.52.21,40029,10.8.0.6,40273,17,4063232,2,62,62,124,4063232,6
111.221.74.18,40006,10.8.0.10,18420,17,0,1,140,140,140,9175040,-1
10.8.8.246,17049,66.60.22.202,123,17,0,1,90,90,90,5898240,-1
10.8.8.130,49539,31.16.136.91,55398,17,0,1,63,63,63,4128768,-1
10.8.8.134,15685,64.4.23.169,40008,17,0,1,85,85,85,5570560,-1
173.194.76.127,19302,10.8.0.10,58241,17,4849664,291,74,74,21534,4849664,0
207.189.227.29,28812,10.8.0.6,43286,6,4325376,260,66,1185,45448,11455692,0
137.116.224.167,443,10.8.8.130,47218,6,4325376,14,66,1374,12504,58533010,5
64.4.23.147,40021,10.8.0.6,40273,17,0,1,487,487,487,31916032,-1
10.8.8.246,51255,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.8.246,64244,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
173.194.67.16,465,10.8.8.234,37873,6,3932160,19,60,302,2137,7371075,0
213.199.179.169,443,10.8.8.130,49539,17,0,1,68,68,68,4456448,-1
10.8.8.130,59914,86.170.118.247,12431,6,4325376,28,66,127,2337,5469915,6
130.88.8.60,56289,10.8.8.134,15685,17,4194304,1651,60,576,311091,12348673,2
10.8.0.10,40943,10.8.0.14,38871,17,9043968,7,138,138,966,9043968,6
10.8.8.138,47604,204.236.238.164,1999,6,4325376,12,66,327,1462,7984469,2
10.8.8.110,37446,64.233.184.16,465,6,4325376,15,66,583,2330,10179925,0
10.8.8.130,51413,2.28.165.124,13887,17,0,1,139,139,139,9109504,-1
10.8.8.134,15685,213.199.179.159,40005,17,5570560,2,81,85,166,5439488,2
31.13.90.6,443,10.8.8.178,36920,6,3932160,10,60,111,806,5282201,0
10.8.8.134,38968,158.222.191.234,55045,6,4325376,79,66,592,11352,9417274,6
131.202.6.26,13000,10.8.8.222,61105,6,3932160,329,60,1374,405194,80713659,5
207.241.236.176,80,10.8.8.130,43462,6,4325376,265,66,1374,357840,88495857,5
10.8.8.246,53591,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
213.199.179.152,40005,10.8.0.6,40273,17,4063232,2,62,62,124,4063232,6
86.193.232.51,40406,10.8.8.130,34813,6,4325376,22,66,151,1615,4810938,6
10.8.8.130,51413,115.64.226.69,7881,17,0,1,139,139,139,9109504,-1
10.8.0.14,39979,216.58.219.238,443,6,4325376,17,66,1404,4528,17455706,0
10.8.8.234,37862,173.194.67.16,465,6,4325376,15,66,907,2801,12237755,0
141.219.235.176,60830,10.8.0.6,40273,17,4128768,3,63,63,189,4128768,2
10.8.8.138,41291,209.148.205.32,80,6,4325376,8,66,66,528,4325376,5
204.236.238.164,1222,10.8.8.138,46749,6,3932160,3320,60,1374,4542538,89668605,5
10.8.8.130,49539,64.4.23.148,443,17,0,1,60,60,60,3932160,-1
213.199.179.169,40008,10.8.0.10,18420,17,4063232,2,62,63,125,4096000,6
208.117.251.116,443,10.8.8.138,56641,6,4325376,5371,66,1374,7342640,89593605,0
111.240.156.174,14039,10.8.8.134,15685,17,0,1,68,68,68,4456448,-1
10.8.8.138,32809,108.160.163.110,443,6,3932160,104,60,652,60970,38420480,0
10.8.8.130,51413,110.168.232.198,48319,17,0,1,100,100,100,6553600,-1
173.194.123.3,443,10.8.0.10,40561,6,4325376,64,60,1404,28302,28981248,0
96.16.196.150,443,10.8.8.138,57843,6,4325376,6,66,119,449,4904277,5
213.213.187.156,45673,10.8.8.130,51413,17,0,1,327,327,327,21430272,-1
10.8.8.222,57068,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
81.148.246.147,41952,10.8.8.130,49539,17,0,1,68,68,68,4456448,-1
10.8.8.130,59121,207.241.227.188,80,6,4325376,242,66,295,16941,4587790,0
24.156.130.203,80,10.8.8.138,55782,6,51249152,72471,66,1374,97996492,88618869,5
157.55.235.161,40013,10.8.0.6,40273,17,0,1,504,504,504,33030144,-1
10.8.0.10,44815,82.165.251.100,80,6,3932160,5,60,74,314,4115660,0
10.8.8.138,58759,209.148.205.16,80,6,4325376,8,66,66,528,4325376,5
10.8.8.178,38247,216.58.208.46,443,6,4325376,13,66,269,1467,7395485,0
10.8.8.130,49539,181.44.104.183,21109,17,0,1,60,60,60,3932160,-1
216.58.219.237,443,10.8.0.6,60645,6,4325376,21,66,382,2476,7727006,0
10.8.0.10,58039,173.194.123.16,80,6,4325376,21,66,1177,3520,10985081,0
10.8.8.178,46889,23.192.162.186,443,6,3932160,30,60,592,4396,9603208,0
10.8.8.234,37854,173.194.67.16,465,6,4325376,14,66,911,2707,12671853,0
111.221.74.17,40011,10.8.0.6,40273,17,0,1,518,518,518,33947648,-1
173.194.123.1,443,10.8.0.10,49040,6,3932160,5593,60,1404,885089,10371033,0
10.8.8.178,44001,23.192.162.144,443,6,3932160,11,60,111,913,5439488,0
10.8.8.138,41914,74.125.226.63,443,17,5373952,4,79,1392,1924,31522816,5
10.8.8.138,58776,209.148.205.16,80,6,4325376,8,66,66,528,4325376,5
10.8.8.222,61136,161.69.13.21,443,6,3932160,13,60,784,2382,12008211,0
10.8.0.14,43996,74.125.226.21,443,6,4325376,19,66,1404,4237,14614528,0
10.8.0.6,40273,157.55.235.143,40016,17,12255232,5,179,191,936,12268339,6
208.117.251.116,443,10.8.8.138,56577,6,4325376,11487,66,1374,15719177,89681551,0
176.194.241.237,6274,10.8.8.130,49539,17,0,1,68,68,68,4456448,-1
10.8.0.10,54474,74.125.22.189,443,6,3932160,15,60,277,1415,6182229,0
10.8.0.10,47421,173.252.79.90,50015,17,12713984,2,86,194,280,9175040,6
10.8.8.130,51413,62.210.236.115,57789,17,0,1,139,139,139,9109504,-1
23.67.255.209,443,10.8.8.178,39276,6,7798784,5,66,119,436,5714739,0
10.8.8.246,61475,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
69.25.24.24,443,10.8.8.138,58923,6,3932160,6,60,60,360,3932160,5
216.58.210.46,443,10.8.8.178,39796,6,4325376,562,66,1374,54377,6341016,5
74.125.226.40,443,10.8.8.138,52719,6,4325376,20,66,1374,5733,18785894,5
209.148.205.35,443,10.8.8.138,42011,6,4325376,2,66,74,140,4587520,5
23.21.114.223,443,10.8.8.138,59218,6,4325376,41,66,1374,14897,23811946,5
10.8.0.6,40273,178.211.244.196,27425,17,4194304,3,64,64,192,4194304,6
188.2.128.20,20712,10.8.8.130,49539,17,0,1,68,68,68,4456448,-1
10.8.8.222,56782,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.8.222,58843,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
111.221.77.153,40033,10.8.8.134,15685,17,9175040,124,140,485,18740,9904392,6
10.8.0.10,44767,173.194.123.118,443,6,4325376,24,66,1404,4636,12659370,0
10.8.8.222,53460,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.8.130,55970,207.241.224.2,80,6,4325376,6,66,263,601,6564522,0
10.8.8.138,43533,185.2.220.137,80,6,4325376,292482,66,735,19844850,4446605,0
216.58.219.200,443,10.8.8.138,38609,6,4325376,4,66,129,327,5357568,5
10.8.8.234,37857,173.194.67.16,465,6,4325376,15,66,907,2801,12237755,0
10.8.8.130,49539,157.55.56.159,40005,17,4980736,5,76,76,380,4980736,2
10.8.8.138,58791,209.148.205.16,80,6,4325376,8,66,66,528,4325376,5
209.148.205.16,80,10.8.8.138,58781,6,4325376,7,66,66,462,4325376,5
64.233.184.16,993,10.8.8.234,56890,6,7208960,22,66,327,2898,8632878,0
153.199.67.39,65364,10.8.8.134,15685,17,0,1,68,68,68,4456448,-1
45.50.54.24,39032,10.8.0.6,39569,6,4325376,9,66,134,728,5301134,6
10.8.8.130,51413,86.201.229.57,6881,17,0,1,139,139,139,9109504,-1
10.8.8.138,58778,209.148.205.16,80,6,4325376,4,66,66,264,4325376,5
10.8.8.130,49539,77.42.152.194,16102,17,0,1,60,60,60,3932160,-1
10.8.8.234,37843,173.194.67.16,465,6,4325376,14,66,910,2706,12667172,0
126.6.5.254,43254,10.8.8.134,15685,17,0,1,68,68,68,4456448,-1
10.8.8.134,15685,124.148.212.80,38295,17,0,1,60,60,60,3932160,-1
131.202.6.26,13000,10.8.8.222,61151,6,3932160,14,60,1374,6622,30998528,5
10.8.8.130,49539,2.218.214.60,55984,17,0,1,60,60,60,3932160,-1
10.8.8.134,15685,98.245.157.115,32614,17,3997696,20,61,568,6923,22685286,2
10.8.8.246,0,224.0.0.22,0,2,3932160,6,60,60,360,3932160,5
10.8.0.6,40273,65.55.223.45,40024,17,0,1,75,75,75,4915200,-1
10.8.8.130,49539,186.210.3.180,43163,17,0,1,60,60,60,3932160,-1
10.8.8.138,56595,208.117.251.116,443,6,4325376,7,66,583,1038,9718052,5
177.71.76.254,40097,10.8.8.130,51413,17,23658496,3,112,361,834,18219008,4
10.8.8.138,53875,204.236.238.164,1879,6,3932160,180,60,1374,230112,83781222,0
212.85.82.244,43092,10.8.8.130,51413,17,0,1,361,361,361,23658496,-1
64.233.184.16,465,10.8.8.110,37419,6,3932160,20,60,304,2199,7205683,0
10.8.0.6,40273,213.199.179.176,40026,17,11927552,8,181,182,1452,11894784,6
173.194.67.16,465,10.8.8.234,37877,6,3932160,19,60,302,2125,7329684,0
10.8.8.130,49539,157.55.130.162,40014,17,4980736,3,76,76,228,4980736,2
88.163.233.117,47999,10.8.8.130,49539,17,0,1,68,68,68,4456448,-1
204.236.238.164,1602,10.8.8.138,57961,6,4325376,190,66,1374,17918,6180389,5
10.8.8.138,49849,23.235.44.143,443,6,4325376,3,66,66,198,4325376,5
10.8.8.222,54156,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.8.138,57747,209.148.205.41,80,6,4325376,20,66,638,1892,6199705,0
209.148.205.32,80,10.8.8.138,41295,6,4325376,4,66,66,264,4325376,5
64.233.184.16,993,10.8.8.234,56872,6,4325376,84,66,1374,12250,9557333,5
10.8.8.130,49539,157.56.52.31,443,17,0,1,60,60,60,3932160,-1
173.252.79.90,3478,10.8.0.10,48050,6,4325376,5,66,170,518,6789529,0
10.8.8.130,49539,176.221.7.4,63980,17,0,1,60,60,60,3932160,-1
10.8.0.6,42888,141.219.235.176,60830,6,4325376,10,66,122,801,5249433,6
173.194.123.31,443,10.8.0.10,37283,6,4325376,9,66,1404,4863,35411285,0
10.8.8.246,57557,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
108.237.134.2,7124,10.8.8.134,50960,6,3932160,50,60,127,3465,4541644,6
207.241.228.122,80,10.8.8.130,59709,6,4325376,406,66,1374,551461,89016128,5
74.125.226.37,443,10.8.8.138,43017,17,10485760,8,160,1392,2738,22429696,5
10.8.8.130,45198,216.58.210.14,443,6,4325376,14,66,269,1533,7176192,0
88.166.212.83,30735,10.8.8.130,34775,6,4325376,8,66,130,650,5324800,2
10.8.8.138,0,23.21.207.234,0,1,5373952,6,82,82,492,5373952,5
10.8.0.6,35584,23.195.218.247,443,6,3932160,9,60,66,582,4237994,5
10.8.8.138,40282,204.236.238.164,1972,6,4325376,481,66,279,32240,4392683,2
74.125.226.6,443,10.8.0.14,36310,6,3932160,19,60,1404,5775,19919494,0
10.8.8.110,37410,64.233.184.16,465,6,4325376,14,66,583,2270,10626194,0
173.194.123.11,443,10.8.0.10,56582,6,4325376,40,60,1404,30278,49607475,0
10.8.8.178,59252,216.58.210.35,443,6,4325376,164,66,583,12019,4802909,0
10.8.8.130,49539,78.212.65.87,10997,17,0,1,60,60,60,3932160,-1
75.171.70.99,60538,10.8.8.134,57340,6,4325376,55,66,130,3765,4486237,6
10.8.0.10,55376,91.190.216.125,12350,6,3932160,33,60,588,3685,7318186,0
10.8.0.10,52167,173.252.79.94,3478,6,4325376,14,66,218,1560,7302582,6
10.8.8.130,56890,94.245.90.63,443,6,4325376,14,66,631,2146,10045732,0
216.58.210.14,443,10.8.8.130,45190,6,3932160,10,60,198,930,6094848,0
10.8.8.222,53095,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.8.138,56625,208.117.251.116,443,6,4325376,7,66,583,1038,9718052,5
207.241.228.122,80,10.8.8.130,59748,6,4325376,1554,66,1374,2122718,89520236,5
10.8.8.130,51281,207.241.224.2,443,6,4325376,47,66,330,4045,5640279,5
10.8.8.138,33860,54.192.55.193,80,6,4325376,8,66,501,971,7954432,5
74.125.226.38,443,10.8.8.138,51827,6,4325376,18,66,1374,5552,20214215,5
207.241.236.176,80,10.8.8.130,43548,6,3932160,1212,60,1374,1654004,89436308,5
173.194.123.15,443,10.8.0.10,35350,6,7274496,8,66,1404,4798,39305216,0
209.148.205.11,443,10.8.0.10,35271,6,3932160,5,60,103,382,5006950,0
10.8.8.134,15685,46.17.57.54,49539,17,4587520,438,70,70,30660,4587520,2
10.8.8.222,60339,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.0.10,43046,173.194.123.12,443,6,4325376,10,66,583,1377,9024307,0
154.120.93.25,21356,10.8.8.130,49539,17,0,1,68,68,68,4456448,-1
10.8.0.14,52888,173.194.123.98,443,6,4325376,18,66,1404,3978,14483456,0
134.170.18.137,443,10.8.8.134,34251,6,10944512,372,60,1047,117550,20709023,0
10.8.8.222,61108,131.202.6.26,13000,6,3932160,14,60,1374,6437,30132516,5
10.8.0.14,39968,216.58.219.238,443,6,4325376,16,66,1404,4084,16728064,0
173.252.79.94,443,10.8.0.10,33969,6,4325376,8,66,170,872,7143424,6
10.8.0.14,36532,173.194.123.0,443,6,4325376,17,66,1404,4150,15998494,0
111.221.74.27,443,10.8.8.134,15685,17,0,1,68,68,68,4456448,-1
10.8.0.6,40273,213.199.179.149,40024,17,4980736,2,76,76,152,4980736,6
10.8.0.6,48595,68.180.110.66,12732,6,4325376,11,66,120,848,5052229,6
5.45.97.110,123,10.8.8.246,17058,17,0,1,90,90,90,5898240,-1
10.8.8.234,37850,173.194.67.16,465,6,4325376,14,66,910,2706,12667172,0
10.8.8.130,49539,82.28.221.2,17920,17,4128768,12,63,63,756,4128768,2
10.8.8.134,15685,144.118.64.164,9987,17,37093376,16,62,566,5146,21078016,2
213.199.179.162,40031,10.8.0.6,40273,17,0,1,62,62,62,4063232,-1
10.8.0.10,33692,173.194.123.4,443,6,4325376,127,66,1404,53108,27405400,0
207.241.227.212,80,10.8.8.130,33780,6,4325376,1208,66,1374,1652482,89649884,5
10.8.8.138,56635,208.117.251.116,443,6,4325376,7,66,583,1038,9718052,5
207.241.237.128,80,10.8.8.130,47796,6,4325376,406,66,1374,551487,89020325,5
10.8.8.246,49537,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
